OG_name,OG size (number of genomes),OG size (total number of genes)
OG_784,16,16
OG_785,18,18
OG_786,21,21
OG_787,40,40
OG_788,39,39
OG_789,25,25
OG_790,40,40
OG_791,40,40
OG_792,22,22
OG_793,40,40
OG_794,40,40
OG_795,23,23
OG_796,23,23
OG_797,40,40
OG_798,40,40
OG_799,40,40
OG_800,24,24
OG_801,40,40
OG_802,40,40
OG_803,40,40
OG_804,5,5
OG_805,40,40
OG_806,40,40
OG_807,17,17
OG_808,21,21
OG_809,21,21
OG_810,20,20
OG_811,25,25
OG_812,40,40
OG_813,40,40
OG_814,40,40
OG_815,24,24
OG_816,19,19
OG_817,40,40
OG_818,40,40
OG_819,23,23
OG_820,25,25
OG_821,40,40
OG_822,40,40
OG_823,23,23
OG_824,21,21
OG_825,40,40
OG_826,23,23
OG_827,3,3
OG_828,40,40
OG_829,40,40
OG_830,24,24
OG_831,40,40
OG_832,40,40
OG_833,40,40
OG_834,39,39
OG_835,40,40
OG_836,11,11
OG_837,22,22
OG_838,2,2
OG_839,40,40
OG_840,40,40
OG_841,24,24
OG_842,21,21
OG_843,23,23
OG_844,24,24
OG_845,25,25
OG_846,24,24
OG_847,40,40
OG_848,23,23
OG_849,40,40
OG_850,24,24
OG_851,21,21
OG_852,40,40
OG_853,23,23
OG_854,25,25
OG_855,23,23
OG_856,40,40
OG_857,40,40
OG_858,40,40
OG_859,38,38
OG_860,40,40
OG_861,36,36
OG_862,39,39
OG_863,39,39
OG_864,23,23
OG_865,21,21
OG_866,39,39
OG_867,38,38
OG_868,39,39
OG_869,39,39
OG_870,18,18
OG_871,40,40
OG_872,40,54
OG_873,39,39
OG_874,40,40
OG_875,40,40
OG_876,40,40
OG_877,40,40
OG_878,40,40
OG_879,40,40
OG_880,40,40
OG_881,40,40
OG_882,40,40
OG_883,25,25
OG_884,40,40
OG_885,25,25
OG_886,40,40
OG_887,40,40
OG_888,23,23
OG_889,23,23
OG_890,40,40
OG_891,40,40
OG_892,23,23
OG_893,40,40
OG_894,24,24
OG_895,25,25
OG_896,21,21
OG_897,25,25
OG_898,40,40
OG_899,22,22
OG_900,39,39
OG_901,40,40
OG_902,40,40
OG_903,38,38
OG_904,21,21
OG_905,40,40
OG_906,39,39
OG_907,40,40
OG_908,40,40
OG_909,40,40
OG_910,40,40
OG_911,40,40
OG_912,40,40
OG_913,40,40
OG_914,3,3
OG_915,40,40
OG_916,40,40
OG_917,40,40
OG_918,25,25
OG_919,40,40
OG_920,40,40
OG_921,40,40
OG_922,39,39
OG_923,40,40
OG_924,40,40
OG_925,39,39
OG_926,40,40
OG_927,39,39
OG_928,40,40
OG_929,40,40
OG_930,40,40
OG_931,40,40
OG_932,40,40
OG_933,40,40
OG_934,24,24
OG_935,21,21
OG_936,24,24
OG_937,40,40
OG_938,38,38
OG_939,25,25
OG_940,39,39
OG_941,40,40
OG_942,24,24
OG_943,25,25
OG_944,25,25
OG_945,40,40
OG_946,21,21
OG_947,38,38
OG_948,40,40
OG_949,21,21
OG_950,40,40
OG_951,40,40
OG_952,40,40
OG_953,40,40
OG_954,40,40
OG_955,40,40
OG_956,40,40
OG_957,40,40
OG_958,25,25
OG_959,23,23
OG_960,40,40
OG_961,21,21
OG_962,25,25
OG_963,40,40
OG_964,37,37
OG_965,25,25
OG_966,40,40
OG_967,25,25
OG_968,40,40
OG_969,40,40
OG_970,21,21
OG_971,40,40
OG_972,40,40
OG_973,40,40
OG_974,25,25
OG_975,40,40
OG_976,40,40
OG_977,21,21
OG_978,24,24
OG_979,39,39
OG_980,40,40
OG_981,40,40
OG_982,40,40
OG_983,40,40
OG_984,24,24
OG_985,40,40
OG_986,40,40
OG_987,40,40
OG_988,39,39
OG_989,23,23
OG_990,23,23
OG_991,40,40
OG_992,21,21
OG_993,40,40
OG_994,40,40
OG_995,36,36
OG_996,39,39
OG_997,21,21
OG_998,24,24
OG_999,3,3
OG_1000,40,40
OG_1001,25,25
OG_1002,40,40
OG_1003,20,20
OG_1004,2,2
OG_1005,1,1
OG_1006,1,1
OG_1007,1,1
OG_1008,1,1
OG_1009,1,1
OG_1010,1,1
OG_1011,1,1
OG_1012,1,1
OG_1013,1,1
OG_1014,1,1
OG_1015,1,1
OG_1016,1,1
OG_1017,1,1
OG_1018,1,1
OG_1019,14,14
OG_1020,12,12
OG_1021,1,1
OG_1022,1,1
OG_1023,1,1
OG_1024,14,14
OG_1025,7,7
OG_1026,1,1
OG_1027,2,3
OG_1028,16,16
OG_1029,11,11
OG_1030,8,8
OG_1031,20,20
OG_1032,14,14
OG_1033,2,2
OG_1034,13,13
OG_1035,14,14
OG_1036,2,2
OG_1037,2,2
OG_1038,2,2
OG_1039,2,2
OG_1040,37,37
OG_1041,14,14
OG_1042,14,14
OG_1043,7,7
OG_1044,11,11
OG_1045,35,35
OG_1046,21,21
OG_1047,37,37
OG_1048,37,37
OG_1049,19,19
OG_1050,21,21
OG_1051,17,17
OG_1052,18,18
OG_1053,2,2
OG_1054,16,16
OG_1055,14,14
OG_1056,2,2
OG_1057,9,9
OG_1058,19,19
OG_1059,14,14
OG_1060,11,11
OG_1061,8,8
OG_1062,2,2
OG_1063,17,17
OG_1064,18,18
OG_1065,21,21
OG_1066,15,15
OG_1067,15,15
OG_1068,2,2
OG_1069,1,1
OG_1070,2,2
OG_1071,2,2
OG_1072,2,2
OG_1073,2,2
OG_1074,1,1
OG_1075,1,1
OG_1076,3,3
OG_1077,1,1
OG_1078,1,1
OG_1079,1,1
OG_1080,1,1
OG_1081,1,1
OG_1082,1,1
OG_1083,2,2
OG_1084,1,1
OG_1085,1,1
OG_1086,2,2
OG_1087,2,2
OG_1088,1,1
OG_1089,1,1
OG_1090,2,2
OG_1091,2,2
OG_1092,1,1
OG_1093,1,1
OG_1094,2,2
OG_1095,1,1
OG_1096,1,1
OG_1097,1,1
OG_1098,2,2
OG_1099,1,1
OG_1100,2,2
OG_1101,1,1
OG_1102,1,1
OG_1103,1,1
OG_1104,1,1
OG_1105,1,1
OG_1106,1,1
OG_1107,2,2
OG_1108,2,2
OG_1109,2,2
OG_1110,1,1
OG_1111,1,1
OG_1112,2,2
OG_1113,1,1
OG_1114,1,1
OG_1115,1,1
OG_1116,1,1
OG_1117,1,1
OG_1118,1,1
OG_1119,1,1
OG_1120,1,1
OG_1121,1,1
OG_1122,1,1
OG_1123,2,2
OG_1124,2,2
OG_1125,1,1
OG_1126,2,2
OG_1127,2,2
OG_1128,1,1
OG_1129,1,1
OG_1130,2,2
OG_1131,1,1
OG_1132,2,2
OG_1133,1,1
OG_1134,1,1
OG_1135,1,1
OG_1136,1,1
OG_1137,1,1
OG_1138,1,1
OG_1139,1,1
OG_1140,1,1
OG_1141,1,1
OG_1142,1,1
OG_1143,1,1
OG_1144,2,2
OG_1145,2,2
OG_1146,2,2
OG_1147,2,2
OG_1148,2,2
OG_1149,1,1
OG_1150,1,1
OG_1151,1,1
OG_1152,1,1
OG_1153,3,3
OG_1154,1,1
OG_1155,1,1
OG_1156,2,2
OG_1157,2,2
OG_1158,1,1
OG_1159,2,2
OG_1160,1,1
OG_1161,1,1
OG_1162,2,2
OG_1163,1,1
OG_1164,1,1
OG_1165,1,1
OG_1166,1,1
OG_1167,1,1
OG_1168,1,1
OG_1169,1,1
OG_1170,2,2
OG_1171,1,1
OG_1172,1,1
OG_1173,1,1
OG_1174,1,1
OG_1175,2,2
OG_1176,1,1
OG_1177,1,1
OG_1178,1,1
OG_1179,1,1
OG_1180,2,2
OG_1181,1,1
OG_1182,2,2
OG_1183,1,1
OG_1184,2,2
OG_1185,2,2
OG_1186,2,2
OG_1187,1,1
OG_1188,2,2
OG_1189,1,1
OG_1190,1,1
OG_1191,2,2
OG_1192,1,1
OG_1193,1,1
OG_1194,1,1
OG_1195,1,1
OG_1196,1,1
OG_1197,1,1
OG_1198,1,1
OG_1199,1,1
OG_1200,1,1
OG_1201,1,1
OG_1202,1,1
OG_1203,1,1
OG_1204,1,1
OG_1205,2,2
OG_1206,1,1
OG_1207,2,2
OG_1208,1,1
OG_1209,2,2
OG_1210,2,2
OG_1211,2,2
OG_1212,3,3
OG_1213,3,3
OG_1214,1,1
OG_1215,1,1
OG_1216,3,3
OG_1217,2,2
OG_1218,1,1
OG_1219,1,1
OG_1220,1,1
OG_1221,2,2
OG_1222,1,1
OG_1223,1,1
OG_1224,1,1
OG_1225,1,1
OG_1226,1,1
OG_1227,1,1
OG_1228,1,1
OG_1229,2,2
OG_1230,1,1
OG_1231,1,1
OG_1232,1,1
OG_1233,2,2
OG_1234,1,1
OG_1235,2,2
OG_1236,2,2
OG_1237,1,1
OG_1238,1,1
OG_1239,2,2
OG_1240,2,2
OG_1241,1,1
OG_1242,1,1
OG_1243,2,2
OG_1244,24,24
OG_1245,1,1
OG_1246,2,2
OG_1247,1,1
OG_1248,1,1
OG_1249,1,1
OG_1250,1,1
OG_1251,1,1
OG_1252,1,1
OG_1253,1,1
OG_1254,1,1
OG_1255,2,2
OG_1256,1,1
OG_1257,1,1
OG_1258,2,2
OG_1259,1,1
OG_1260,2,2
OG_1261,1,1
OG_1262,2,2
OG_1263,2,2
OG_1264,2,2
OG_1265,1,1
OG_1266,1,1
OG_1267,2,2
OG_1268,1,1
OG_1269,2,2
OG_1270,1,1
OG_1271,2,2
OG_1272,1,1
OG_1273,2,2
OG_1274,12,12
OG_1275,1,1
OG_1276,1,1
OG_1277,1,1
OG_1278,1,1
OG_1279,1,1
OG_1280,1,1
OG_1281,1,1
OG_1282,1,1
OG_1283,1,1
OG_1284,1,1
OG_1285,1,1
OG_1286,1,1
OG_1287,1,1
OG_1288,1,1
OG_1289,1,1
OG_1290,1,1
OG_1291,1,1
OG_1292,1,1
OG_1293,2,2
OG_1294,1,1
OG_1295,1,1
OG_1296,4,4
OG_1297,1,1
OG_1298,1,1
OG_1299,1,1
OG_1300,12,12
OG_1301,1,1
OG_1302,1,1
OG_1303,1,1
OG_1304,1,1
OG_1305,1,1
OG_1306,1,1
OG_1307,11,13
OG_1308,1,1
OG_1309,1,1
OG_1310,3,3
OG_1311,2,2
OG_1312,1,1
OG_1313,3,3
OG_1314,1,1
OG_1315,3,3
OG_1316,1,1
OG_1317,2,2
OG_1318,2,2
OG_1319,1,1
OG_1320,1,1
OG_1321,1,1
OG_1322,1,1
OG_1323,1,1
OG_1324,1,1
OG_1325,2,2
OG_1326,4,4
OG_1327,1,1
OG_1328,1,1
OG_1329,1,1
OG_1330,1,1
OG_1331,1,1
OG_1332,1,1
OG_1333,1,1
OG_1334,1,1
OG_1335,1,1
OG_1336,3,3
OG_1337,4,4
OG_1338,4,4
OG_1339,3,3
OG_1340,1,1
OG_1341,1,1
OG_1342,3,3
OG_1343,3,3
OG_1344,5,5
OG_1345,1,1
OG_1346,2,2
OG_1347,3,3
OG_1348,4,4
OG_1349,3,3
OG_1350,1,1
OG_1351,1,1
OG_1352,2,3
OG_1353,1,1
OG_1354,2,2
OG_1355,2,2
OG_1356,13,13
OG_1357,3,3
OG_1358,3,3
OG_1359,3,3
OG_1360,12,12
OG_1361,3,3
OG_1362,3,3
OG_1363,3,3
OG_1364,4,4
OG_1365,1,1
OG_1366,1,1
OG_1367,1,1
OG_1368,1,1
OG_1369,4,4
OG_1370,3,3
OG_1371,3,3
OG_1372,1,1
OG_1373,1,1
OG_1374,2,2
OG_1375,1,1
OG_1376,1,1
OG_1377,2,2
OG_1378,1,1
OG_1379,1,1
OG_1380,3,3
OG_1381,1,1
OG_1382,1,1
OG_1383,1,1
OG_1384,1,1
OG_1385,3,3
OG_1386,1,1
OG_1387,3,3
OG_1388,1,1
OG_1389,3,3
OG_1390,4,4
OG_1391,3,3
OG_1392,1,1
OG_1393,1,1
OG_1394,1,1
OG_1395,1,1
OG_1396,1,1
OG_1397,1,1
OG_1398,1,1
OG_1399,2,2
OG_1400,1,1
OG_1401,1,1
OG_1402,1,1
OG_1403,1,1
OG_1404,1,1
OG_1405,1,1
OG_1406,2,2
OG_1407,2,2
OG_1408,1,1
OG_1409,1,1
OG_1410,1,1
OG_1411,1,1
OG_1412,1,1
OG_1413,1,1
OG_1414,1,1
OG_1415,1,1
OG_1416,1,1
OG_1417,2,2
OG_1418,1,1
OG_1419,1,1
OG_1420,1,1
OG_1421,2,2
OG_1422,1,1
OG_1423,1,2
OG_1424,1,1
OG_1425,1,1
OG_1426,1,1
OG_1427,2,2
OG_1428,1,1
OG_1429,1,1
OG_1430,1,1
OG_1431,1,1
OG_1432,2,2
OG_1433,2,2
OG_1434,2,2
OG_1435,1,1
OG_1436,1,1
OG_1437,1,1
OG_1438,1,1
OG_1439,1,1
OG_1440,1,1
OG_1441,2,2
OG_1442,2,2
OG_1443,1,1
OG_1444,1,2
OG_1445,1,1
OG_1446,2,2
OG_1447,1,1
OG_1448,2,2
OG_1449,1,1
OG_1450,1,1
OG_1451,1,1
OG_1452,1,1
OG_1453,1,1
OG_1454,1,1
OG_1455,1,1
OG_1456,1,1
OG_1457,3,3
OG_1458,2,2
OG_1459,2,2
OG_1460,2,2
OG_1461,1,1
OG_1462,2,2
OG_1463,2,2
OG_1464,2,2
OG_1465,1,1
OG_1466,2,2
OG_1467,1,1
OG_1468,1,1
OG_1469,2,2
OG_1470,1,1
OG_1471,1,1
OG_1472,1,1
OG_1473,1,1
OG_1474,1,1
OG_1475,1,1
OG_1476,1,1
OG_1477,1,1
OG_1478,1,1
OG_1479,1,1
OG_1480,1,1
OG_1481,1,1
OG_1482,1,1
OG_1483,1,1
OG_1484,1,1
OG_1485,1,1
OG_1486,1,1
OG_1487,1,1
OG_1488,1,1
OG_1489,1,3
OG_1490,1,1
OG_1491,2,2
