OG_name,OG size (number of genomes),OG size (total number of genes)
OG_352,40,40
OG_353,41,41
OG_354,40,40
OG_355,40,40
OG_356,41,41
OG_357,40,40
OG_358,40,40
OG_359,41,41
OG_360,40,40
OG_361,41,41
OG_362,39,39
OG_363,41,41
OG_364,40,40
OG_365,39,39
OG_366,20,20
OG_367,23,23
OG_368,23,23
OG_369,41,41
OG_370,41,41
OG_371,41,41
OG_372,41,41
OG_373,40,40
OG_374,41,41
OG_375,39,39
OG_376,21,21
OG_377,19,19
OG_378,21,21
OG_379,5,5
OG_380,41,41
OG_381,40,40
OG_382,40,40
OG_383,21,21
OG_384,41,41
OG_385,41,41
OG_386,41,41
OG_387,41,41
OG_388,20,20
OG_389,41,41
OG_390,41,41
OG_391,40,40
OG_392,41,41
OG_393,40,40
OG_394,40,40
OG_395,40,40
OG_396,41,41
OG_397,39,39
OG_398,40,40
OG_399,40,40
OG_400,41,41
OG_401,41,41
OG_402,41,41
OG_403,40,40
OG_404,30,30
OG_405,40,40
OG_406,40,40
OG_407,41,41
OG_408,40,40
OG_409,40,40
OG_410,40,40
OG_411,40,40
OG_412,41,41
OG_413,40,40
OG_414,40,40
OG_415,41,41
OG_416,41,41
OG_417,41,41
OG_418,40,40
OG_419,40,40
OG_420,41,41
OG_421,41,41
OG_422,41,41
OG_423,41,41
OG_424,41,41
OG_425,41,41
OG_426,41,41
OG_427,25,25
OG_428,40,40
OG_429,40,40
OG_430,41,41
OG_431,41,41
OG_432,21,21
OG_433,39,39
OG_434,41,41
OG_435,41,41
OG_436,41,41
OG_437,24,24
OG_438,41,41
OG_439,40,40
OG_440,40,40
OG_441,40,40
OG_442,41,41
OG_443,41,41
OG_444,41,41
OG_445,41,41
OG_446,41,41
OG_447,40,40
OG_448,40,40
OG_449,24,24
OG_450,23,23
OG_451,40,40
OG_452,41,41
OG_453,40,40
OG_454,41,41
OG_455,40,40
OG_456,24,24
OG_457,41,41
OG_458,21,21
OG_459,41,41
OG_460,41,41
OG_461,21,21
OG_462,23,23
OG_463,41,41
OG_464,23,23
OG_465,23,23
OG_466,21,21
OG_467,40,40
OG_468,41,41
OG_469,41,41
OG_470,41,41
OG_471,40,40
OG_472,40,40
OG_473,40,40
OG_474,40,40
OG_475,40,40
OG_476,21,21
OG_477,23,23
OG_478,17,17
OG_479,40,40
OG_480,40,40
OG_481,41,41
OG_482,40,40
OG_483,41,41
OG_484,39,39
OG_485,41,41
OG_486,39,39
OG_487,38,38
OG_488,40,40
OG_489,22,22
OG_490,41,41
OG_491,40,40
OG_492,41,41
OG_493,21,21
OG_494,3,3
OG_495,41,41
OG_496,40,40
OG_497,41,41
OG_498,40,40
OG_499,41,41
OG_500,20,20
OG_501,23,23
OG_502,21,21
OG_503,41,41
OG_504,41,41
OG_505,40,40
OG_506,41,41
OG_507,23,23
OG_508,3,3
OG_509,39,39
OG_510,40,40
OG_511,21,21
OG_512,40,40
OG_513,40,40
OG_514,40,40
OG_515,21,21
OG_516,41,41
OG_517,41,41
OG_518,40,40
OG_519,41,41
OG_520,41,41
OG_521,3,3
OG_522,3,3
OG_523,3,3
OG_524,17,17
OG_525,19,20
OG_526,20,20
OG_527,6,6
OG_528,4,4
OG_529,41,41
OG_530,2,2
OG_531,11,11
OG_532,3,3
OG_533,23,23
OG_534,21,21
OG_535,20,20
OG_536,3,3
OG_537,3,3
OG_538,2,2
OG_539,2,2
OG_540,41,41
OG_541,40,40
OG_542,40,40
OG_543,19,19
OG_544,18,18
OG_545,17,17
OG_546,40,40
OG_547,40,40
OG_548,40,40
OG_549,25,25
OG_550,40,40
OG_551,41,41
OG_552,23,23
OG_553,40,40
OG_554,41,41
OG_555,40,40
OG_556,40,40
OG_557,40,40
OG_558,20,20
OG_559,40,40
OG_560,40,40
OG_561,40,40
OG_562,40,40
OG_563,41,41
OG_564,40,40
OG_565,40,40
OG_566,40,40
OG_567,41,41
OG_568,41,41
OG_569,40,40
OG_570,40,40
OG_571,39,39
OG_572,41,41
OG_573,40,40
OG_574,41,41
OG_575,40,40
OG_576,23,23
OG_577,41,41
OG_578,41,41
OG_579,21,21
OG_580,4,4
OG_581,3,3
OG_582,23,23
OG_583,23,23
OG_584,40,40
OG_585,41,41
OG_586,19,39
OG_587,40,40
OG_588,24,24
